ìÂ;ìÀ
4.3344E-02;8.6688E-07
4.3456E-02;8.6911E-07
4.3812E-02;8.7623E-07
4.3817E-02;8.7634E-07
4.3821E-02;8.7642E-07
4.3839E-02;8.7679E-07
4.3933E-02;8.7865E-07
4.3938E-02;8.7876E-07
4.3970E-02;8.7940E-07
4.3972E-02;8.7943E-07
4.4054E-02;8.8107E-07
4.4083E-02;8.8167E-07
4.4110E-02;8.8219E-07
4.4169E-02;8.8338E-07
4.4268E-02;8.8536E-07
4.4452E-02;8.8905E-07
4.4523E-02;8.9046E-07
4.4566E-02;8.9132E-07
4.4566E-02;8.9132E-07
4.4629E-02;8.9258E-07
4.4698E-02;8.9396E-07
4.4698E-02;8.9396E-07
4.4702E-02;8.9404E-07
4.4922E-02;8.9843E-07
4.4950E-02;8.9899E-07
4.4955E-02;8.9910E-07
4.5026E-02;9.0052E-07
4.5095E-02;9.0190E-07
4.5110E-02;9.0220E-07
4.5182E-02;9.0365E-07
4.5261E-02;9.0521E-07
4.5283E-02;9.0566E-07
4.5333E-02;9.0667E-07
4.5380E-02;9.0760E-07
4.5410E-02;9.0819E-07
4.5417E-02;9.0834E-07
4.5432E-02;9.0864E-07
4.5594E-02;9.1188E-07
4.5663E-02;9.1326E-07
4.5695E-02;9.1389E-07
4.5697E-02;9.1393E-07
4.5728E-02;9.1456E-07
4.5754E-02;9.1509E-07
4.5780E-02;9.1561E-07
4.5790E-02;9.1579E-07
4.5792E-02;9.1583E-07
4.5806E-02;9.1613E-07
4.5838E-02;9.1676E-07
4.5844E-02;9.1687E-07
4.5864E-02;9.1728E-07
4.5931E-02;9.1862E-07
4.5950E-02;9.1900E-07
4.5989E-02;9.1978E-07
4.5989E-02;9.1978E-07
4.6004E-02;9.2008E-07
4.6138E-02;9.2276E-07
4.6168E-02;9.2336E-07
4.6281E-02;9.2563E-07
4.6360E-02;9.2719E-07
4.6402E-02;9.2805E-07
4.6445E-02;9.2891E-07
4.6460E-02;9.2920E-07
4.6481E-02;9.2961E-07
4.6514E-02;9.3028E-07
4.6563E-02;9.3125E-07
4.6578E-02;9.3155E-07
4.6613E-02;9.3226E-07
4.6619E-02;9.3237E-07
4.6659E-02;9.3319E-07
4.6786E-02;9.3572E-07
4.6805E-02;9.3610E-07
4.6872E-02;9.3744E-07
4.7103E-02;9.4206E-07
4.7205E-02;9.4411E-07
4.7317E-02;9.4634E-07
4.7460E-02;9.4921E-07
4.7464E-02;9.4928E-07
4.7591E-02;9.5182E-07
4.7636E-02;9.5271E-07
4.7738E-02;9.5476E-07
4.7798E-02;9.5595E-07
4.7801E-02;9.5603E-07
4.7840E-02;9.5681E-07
4.7855E-02;9.5711E-07
4.7913E-02;9.5826E-07
4.8034E-02;9.6068E-07
4.8073E-02;9.6146E-07
4.8099E-02;9.6199E-07
4.8161E-02;9.6322E-07
4.8172E-02;9.6344E-07
4.8267E-02;9.6534E-07
4.8360E-02;9.6720E-07
4.8360E-02;9.6720E-07
4.8362E-02;9.6724E-07
4.8546E-02;9.7093E-07
4.8567E-02;9.7134E-07
4.8597E-02;9.7193E-07
4.8626E-02;9.7253E-07
4.8694E-02;9.7387E-07
4.8705E-02;9.7409E-07
4.8736E-02;9.7473E-07
4.8837E-02;9.7674E-07
4.8865E-02;9.7730E-07
4.8876E-02;9.7752E-07
4.8926E-02;9.7853E-07
4.9064E-02;9.8128E-07
4.9159E-02;9.8318E-07
4.9370E-02;9.8739E-07
4.9379E-02;9.8758E-07
4.9463E-02;9.8926E-07
4.9478E-02;9.8955E-07
4.9500E-02;9.9000E-07
4.9543E-02;9.9086E-07
4.9543E-02;9.9086E-07
4.9552E-02;9.9104E-07
4.9554E-02;9.9108E-07
4.9582E-02;9.9164E-07
4.9619E-02;9.9238E-07
4.9636E-02;9.9272E-07
4.9653E-02;9.9306E-07
4.9658E-02;9.9317E-07
4.9763E-02;9.9525E-07
4.9770E-02;9.9540E-07
4.9856E-02;9.9712E-07
5.0050E-02;1.0010E-06
5.0087E-02;1.0017E-06
5.0117E-02;1.0023E-06
5.0182E-02;1.0036E-06
5.0292E-02;1.0058E-06
5.0405E-02;1.0081E-06
5.0441E-02;1.0088E-06
5.0461E-02;1.0092E-06
5.0469E-02;1.0094E-06
5.0470E-02;1.0094E-06
5.0660E-02;1.0132E-06
5.0757E-02;1.0151E-06
5.0800E-02;1.0160E-06
5.0886E-02;1.0177E-06
5.0981E-02;1.0196E-06
5.1016E-02;1.0203E-06
5.1039E-02;1.0208E-06
5.1061E-02;1.0212E-06
5.1104E-02;1.0221E-06
5.1150E-02;1.0230E-06
5.1236E-02;1.0247E-06
5.1264E-02;1.0253E-06
5.1271E-02;1.0254E-06
5.1320E-02;1.0264E-06
5.1389E-02;1.0278E-06
5.1456E-02;1.0291E-06
5.1480E-02;1.0296E-06
5.1502E-02;1.0300E-06
5.1515E-02;1.0303E-06
5.1523E-02;1.0305E-06
5.1541E-02;1.0308E-06
5.1562E-02;1.0312E-06
5.1579E-02;1.0316E-06
5.1618E-02;1.0324E-06
5.1631E-02;1.0326E-06
5.1657E-02;1.0331E-06
5.1679E-02;1.0336E-06
5.1702E-02;1.0340E-06
5.1785E-02;1.0357E-06
5.1793E-02;1.0359E-06
5.1834E-02;1.0367E-06
5.1879E-02;1.0376E-06
5.1886E-02;1.0377E-06
5.1910E-02;1.0382E-06
5.1936E-02;1.0387E-06
5.2028E-02;1.0406E-06
5.2061E-02;1.0412E-06
5.2093E-02;1.0419E-06
5.2169E-02;1.0434E-06
5.2195E-02;1.0439E-06
5.2460E-02;1.0492E-06
5.2490E-02;1.0498E-06
5.2510E-02;1.0502E-06
5.2555E-02;1.0511E-06
5.2573E-02;1.0515E-06
5.2590E-02;1.0518E-06
5.2659E-02;1.0532E-06
5.2687E-02;1.0537E-06
5.2847E-02;1.0569E-06
5.3020E-02;1.0604E-06
5.3028E-02;1.0606E-06
5.3056E-02;1.0611E-06
5.3101E-02;1.0620E-06
5.3117E-02;1.0623E-06
5.3125E-02;1.0625E-06
5.3315E-02;1.0663E-06
5.3482E-02;1.0696E-06
5.3518E-02;1.0704E-06
5.3657E-02;1.0731E-06
5.3663E-02;1.0733E-06
5.3723E-02;1.0745E-06
5.4110E-02;1.0822E-06
5.4125E-02;1.0825E-06
5.4136E-02;1.0827E-06
5.4186E-02;1.0837E-06
5.4460E-02;1.0892E-06
