ìÂ;ìÀ
9.9559E-03;1.9912E-07
1.0063E-02;2.0126E-07
1.0239E-02;2.0478E-07
1.0406E-02;2.0811E-07
1.0460E-02;2.0919E-07
1.0490E-02;2.0979E-07
1.0589E-02;2.1178E-07
1.0694E-02;2.1389E-07
1.0712E-02;2.1424E-07
1.0775E-02;2.1549E-07
1.0866E-02;2.1732E-07
1.0929E-02;2.1858E-07
1.1090E-02;2.2181E-07
1.1128E-02;2.2257E-07
1.1246E-02;2.2492E-07
1.1323E-02;2.2646E-07
1.1364E-02;2.2728E-07
1.1499E-02;2.2998E-07
1.1603E-02;2.3207E-07
1.1724E-02;2.3449E-07
1.1725E-02;2.3451E-07
1.1753E-02;2.3507E-07
1.1774E-02;2.3548E-07
1.1801E-02;2.3602E-07
1.2016E-02;2.4032E-07
1.2063E-02;2.4125E-07
1.2085E-02;2.4170E-07
1.2098E-02;2.4196E-07
1.2403E-02;2.4807E-07
1.2487E-02;2.4974E-07
1.2511E-02;2.5021E-07
1.2587E-02;2.5174E-07
1.2667E-02;2.5334E-07
1.2674E-02;2.5349E-07
1.2688E-02;2.5377E-07
1.2726E-02;2.5451E-07
1.2789E-02;2.5578E-07
1.2793E-02;2.5585E-07
1.2820E-02;2.5639E-07
1.2882E-02;2.5764E-07
1.3018E-02;2.6036E-07
1.3275E-02;2.6550E-07
1.3275E-02;2.6550E-07
1.3287E-02;2.6574E-07
1.3320E-02;2.6640E-07
1.3326E-02;2.6653E-07
1.3328E-02;2.6656E-07
1.3338E-02;2.6677E-07
1.3406E-02;2.6813E-07
1.3469E-02;2.6938E-07
1.3526E-02;2.7051E-07
1.3532E-02;2.7064E-07
1.3583E-02;2.7167E-07
1.3591E-02;2.7182E-07
1.3604E-02;2.7208E-07
1.3669E-02;2.7338E-07
1.3673E-02;2.7346E-07
1.3732E-02;2.7465E-07
1.3793E-02;2.7586E-07
1.3799E-02;2.7597E-07
1.3810E-02;2.7619E-07
1.3921E-02;2.7841E-07
1.3958E-02;2.7916E-07
1.3986E-02;2.7971E-07
1.3990E-02;2.7981E-07
1.4021E-02;2.8042E-07
1.4159E-02;2.8318E-07
1.4180E-02;2.8361E-07
1.4202E-02;2.8404E-07
1.4227E-02;2.8454E-07
1.4415E-02;2.8830E-07
1.4473E-02;2.8946E-07
1.4511E-02;2.9022E-07
1.4540E-02;2.9080E-07
1.4586E-02;2.9171E-07
1.4594E-02;2.9188E-07
1.4615E-02;2.9231E-07
1.4665E-02;2.9329E-07
1.4688E-02;2.9376E-07
1.4872E-02;2.9745E-07
1.4883E-02;2.9765E-07
1.4923E-02;2.9845E-07
1.4999E-02;2.9998E-07
1.4999E-02;2.9998E-07
1.5234E-02;3.0467E-07
1.5242E-02;3.0484E-07
1.5256E-02;3.0512E-07
1.5316E-02;3.0631E-07
1.5372E-02;3.0743E-07
1.5606E-02;3.1213E-07
1.5642E-02;3.1283E-07
1.5697E-02;3.1393E-07
1.5753E-02;3.1505E-07
1.5761E-02;3.1522E-07
1.5762E-02;3.1524E-07
1.5830E-02;3.1660E-07
1.5885E-02;3.1770E-07
1.5915E-02;3.1831E-07
1.5944E-02;3.1889E-07
1.5966E-02;3.1932E-07
1.5977E-02;3.1954E-07
1.6005E-02;3.2010E-07
1.6031E-02;3.2062E-07
1.6134E-02;3.2269E-07
1.6274E-02;3.2548E-07
1.6412E-02;3.2824E-07
1.6472E-02;3.2945E-07
1.6512E-02;3.3025E-07
1.6594E-02;3.3189E-07
1.6638E-02;3.3276E-07
1.6993E-02;3.3986E-07
1.7095E-02;3.4189E-07
1.7152E-02;3.4305E-07
1.7212E-02;3.4424E-07
1.7229E-02;3.4457E-07
